[mybatis_study][DEBUG] [2019-08-11 20:24:26] com.alibaba.druid.filter.logging.Log4jFilter.connectionLog(132) | {conn-10003} connected
[mybatis_study][DEBUG] [2019-08-11 20:24:26] com.alibaba.druid.filter.logging.Log4jFilter.connectionLog(132) | {conn-10004} connected
[mybatis_study][DEBUG] [2019-08-11 20:24:26] com.alibaba.druid.filter.logging.Log4jFilter.connectionLog(132) | {conn-10005} connected
[mybatis_study][INFO] [2019-08-11 20:24:27] com.alibaba.druid.pool.DruidDataSource.init(721) | {dataSource-1} inited
[mybatis_study][DEBUG] [2019-08-11 20:24:27] com.alibaba.druid.filter.logging.Log4jFilter.connectionLog(132) | {conn-10005} pool-connect
[mybatis_study][DEBUG] [2019-08-11 20:24:27] com.alibaba.druid.filter.logging.Log4jFilter.connectionLog(132) | {conn-10005} pool-recycle
[mybatis_study][DEBUG] [2019-08-11 20:24:27] com.alibaba.druid.filter.logging.Log4jFilter.connectionLog(132) | {conn-10005} pool-connect
[mybatis_study][DEBUG] [2019-08-11 20:24:27] com.alibaba.druid.filter.logging.Log4jFilter.connectionLog(132) | {conn-10005} pool-recycle
[mybatis_study][DEBUG] [2019-08-11 20:24:28] com.alibaba.druid.filter.logging.Log4jFilter.connectionLog(132) | {conn-10005} pool-connect
[mybatis_study][DEBUG] [2019-08-11 20:24:28] com.alibaba.druid.filter.logging.Log4jFilter.connectionLog(132) | {conn-10005} pool-recycle
[mybatis_study][DEBUG] [2019-08-11 20:24:28] com.alibaba.druid.filter.logging.Log4jFilter.connectionLog(132) | {conn-10005} pool-connect
[mybatis_study][DEBUG] [2019-08-11 20:24:28] com.alibaba.druid.filter.logging.Log4jFilter.connectionLog(132) | {conn-10005} pool-recycle
[mybatis_study][DEBUG] [2019-08-11 20:24:32] org.I0Itec.zkclient.ZkConnection.connect(68) | Creating new ZookKeeper instance to connect to 192.168.1.9:2181.
[mybatis_study][INFO] [2019-08-11 20:24:32] org.I0Itec.zkclient.ZkEventThread.run(64) | Starting ZkClient event thread.
[mybatis_study][DEBUG] [2019-08-11 20:24:32] org.I0Itec.zkclient.ZkClient.connect(1181) | Awaiting connection to Zookeeper server
[mybatis_study][DEBUG] [2019-08-11 20:24:32] org.I0Itec.zkclient.ZkClient.waitForKeeperState(895) | Waiting for keeper state SyncConnected
[mybatis_study][DEBUG] [2019-08-11 20:24:32] org.I0Itec.zkclient.ZkClient.process(606) | Received event: WatchedEvent state:SyncConnected type:None path:null
